symbol,topic,horizon_h,n,mean_ret,abn_ret,mean_abs_ret,t,tone_hit,tone_n
SUI,crypto,1,13,0.0035647945882159968,0.0036844981477405212,0.009050846261207267,1.1378954509668486,0.3076923076923077,13
ZEC,fed_macro,24,8,0.021541731300674508,0.011715240978591984,0.049431746339335045,1.1241570133329284,0.375,8
CRV,crypto,4,13,0.006697183178643506,0.006895928573523611,0.015246660570320177,1.1195722413945883,0.46153846153846156,13
ZEC,crypto,1,13,0.008514533398347453,0.00812688681184972,0.01735472799569486,1.114608437411939,0.5384615384615384,13
SUI,fed_macro,24,8,0.022259800218960804,0.025049536646926003,0.043539785848763654,1.1113790287015346,0.25,8
ETH,commodities,24,13,0.009676218525164853,0.010383335573172055,0.02455163108180284,1.0973026425918204,0.3076923076923077,13
ZEC,crypto,24,13,0.033756180182807786,0.023929689860725262,0.08174716080293276,1.0922579776102754,0.6923076923076923,13
SOL,crypto,1,13,0.0031759039879592286,0.0032482456427492777,0.00783641575489292,1.0742729637258608,0.46153846153846156,13
xyz_CL,fed_macro,4,8,-0.0021556292721511133,-0.002407696651407584,0.00493138639313033,-1.0707406326387234,0.75,8
CRV,fed_macro,1,8,0.005090883353992687,0.00513657588166204,0.00925212166858383,1.0697706562325748,0.25,8
VVV,commodities,1,13,0.004652338618651595,0.0040011815217059305,0.011890568661636984,1.059191869116946,0.3076923076923077,13
SOL,fed_macro,4,8,0.0068248740856484275,0.007113076955742409,0.015565096797552733,1.0552508842737767,0.25,8
xyz_GOLD,commodities,24,13,-0.011831342351930823,-0.012861539477574927,0.02438033819456098,-1.0328761121092718,0.46153846153846156,13
NEAR,geopolitics,4,8,0.0056472330127573245,0.005500520004171266,0.012193761155890603,1.029164781705145,0.25,8
SUI,crypto,4,13,0.006063382019767536,0.006538212642723083,0.014825933799625055,1.0183063042070168,0.5384615384615384,13
xyz_CL,commodities,1,13,0.005286025851489688,0.0052241640067532975,0.009744400834707742,1.0155288292746174,0.38461538461538464,13
XRP,geopolitics,1,8,0.003142806768753434,0.003198881275394225,0.006916406478992623,1.0109611423044318,0.375,8
HYPE,commodities,24,13,0.013267310960681079,0.010187655036870842,0.032088635078822016,0.9619060281940465,0.3076923076923077,13
xyz_GOLD,commodities,4,13,-0.0037368154392962536,-0.003909946911845961,0.008537655588757178,-0.9468317661443622,0.6153846153846154,13
xyz_SNDK,geopolitics,4,8,0.016177999627418768,0.006724720757519443,0.038056541328011353,0.9448593639944927,0.375,8
HYPE,geopolitics,24,8,0.012897477786032327,0.00981782186222209,0.032179617659592055,0.9367781272009845,0.25,8
VVV,commodities,4,13,0.017353111164499002,0.01474129341221903,0.04465625211515884,0.9306848806938997,0.3076923076923077,13
ZEC,crypto,4,13,0.01116696596503584,0.009631432930243516,0.030385828262391966,0.9206995943973165,0.46153846153846156,13
SUI,commodities,24,13,0.015856828921245163,0.018646565349210362,0.046148004769079286,0.915546081012296,0.38461538461538464,13
xyz_BRENTOIL,crypto,24,13,-0.012062286792133657,-0.013667550248200008,0.032692874654237175,-0.9040117721926412,0.46153846153846156,13
xyz_SILVER,fed_macro,24,8,0.011411788583285135,0.008175491317370257,0.02667510853353504,0.9003572027722022,0.5,8
xyz_CL,crypto,24,13,-0.01461257344273183,-0.016255617288944618,0.03854637148442437,-0.8946115598929042,0.38461538461538464,13
SUI,geopolitics,4,8,0.005278019538328391,0.005752850161283938,0.01180811034207764,0.8775501008895851,0.5,8
xyz_XYZ100,crypto,1,13,0.0006899889924257488,0.0005301016090728719,0.0022264780915066586,0.8715581895111075,0.23076923076923078,13
ETH,crypto,24,13,0.005786983809501079,0.006494100857508282,0.01648632910303614,0.8563006570088973,0.38461538461538464,13
SOL,commodities,24,13,0.006659627017404335,0.00838738714274807,0.021779142630701014,0.8554147211633752,0.38461538461538464,13
BTC,fed_macro,4,8,0.0032477931626841705,0.003453371282654312,0.008996691084113023,0.8493817801746215,0.25,8
xyz_BRENTOIL,commodities,1,13,0.003930613782274251,0.003861967932576111,0.009232226310243384,0.8487962480733773,0.38461538461538464,13
xyz_SNDK,fed_macro,4,8,-0.004294366412351008,-0.013747645282250334,0.013183684370524501,-0.8374314653104372,0.75,8
xyz_SILVER,fed_macro,4,8,0.0031719211178430906,0.0026426535339663473,0.007333864227709597,0.8322989710820629,0.25,8
xyz_SP500,geopolitics,1,8,0.0006160644884247168,0.0005046760718938005,0.0014551099952855862,0.8312540790172128,0.375,8
